onset	duration	nwb_table	Block	sound	sound_puretone	sound_freq	sound_amp
1126.7128602984264	2.0	trials	0.0	True	True	10000.0	True
1132.1244689936157	2.0	trials	0.0	True	True	10000.0	True
1138.413129128356	2.0	trials	0.0	True	True	10000.0	True
1144.9274673598463	2.0	trials	0.0	True	True	10000.0	True
1151.367501164382	2.0	trials	0.0	True	True	10000.0	True
1159.2853290603464	2.0	trials	0.0	True	True	10000.0	True
1165.6069077842376	2.0	trials	0.0	True	True	10000.0	True
1173.0337216588273	2.0	trials	0.0	True	True	10000.0	True
1179.6156250785482	2.0	trials	0.0	True	True	10000.0	True
1185.280214427368	2.0	trials	0.0	True	True	10000.0	True
1192.0525445412839	2.0	trials	0.0	True	True	10000.0	True
1200.1319413656254	2.0	trials	0.0	True	True	10000.0	True
1207.8522577266851	2.0	trials	0.0	True	True	10000.0	True
1215.4542054075966	2.0	trials	0.0	True	True	10000.0	True
1223.218931623836	2.0	trials	0.0	True	True	10000.0	True
1230.577402705727	2.0	trials	0.0	True	True	10000.0	True
1236.5930372716582	2.0	trials	0.0	True	True	10000.0	True
1244.4105541912338	2.0	trials	0.0	True	True	10000.0	True
1249.869855960468	2.0	trials	0.0	True	True	10000.0	True
1256.250014220958	2.0	trials	0.0	True	True	10000.0	True
1263.8570595311608	2.0	trials	0.0	True	True	10000.0	True
1271.5848063349156	2.0	trials	0.0	True	True	10000.0	True
1279.608906841524	2.0	trials	0.0	True	True	10000.0	True
1287.3919499630126	2.0	trials	0.0	True	True	10000.0	True
1294.9411069405878	2.0	trials	0.0	True	True	10000.0	True
1301.5168759250603	2.0	trials	0.0	True	True	10000.0	True
1308.4434309251546	2.0	trials	0.0	True	True	10000.0	True
1316.0935036825933	2.0	trials	0.0	True	True	10000.0	True
1321.655967644599	2.0	trials	0.0	True	True	10000.0	True
1327.9527494260067	2.0	trials	0.0	True	True	10000.0	True
1333.9977601607338	2.0	trials	0.0	True	True	10000.0	True
1339.7820141971488	2.0	trials	0.0	True	True	10000.0	True
